,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length
mcm_item_filter_containers,BOTTLES,БУТЫЛКИ,FRASCOS,FRASCOS,FLASCHEN,FLACONS,BOTTIGLIE,BUTELKI,容器,ボトル,병,,,
mcm_item_filter_liquids,LIQUIDS,ЖИДКОСТИ,LÍQUIDOS,LÍQUIDOS,FLÜSSIGK.,LIQUIDES,LIQUIDI,CIECZE,液体,液体,액체,,,
mcm_item_filter_stones,STONES,КАМНИ,PEDRAS,PIEDRAS,STEINE,PIERRES,PIETRE,KAMIENIE,石头,石,돌,,,
mcm_item_filter_eggs,EGGS,ЯЙЦА,OVOS,HUEVOS,EIER,ŒUFS,UOVA,JAJA,蛋,卵,알,,,
mcm_item_filter_wands,WANDS,ПОСОХИ,VARINHAS,VARITAS,STÄBE,BAGUETTES,BACCHETTE,RÓŻDŻKI,法杖,杖,완드,,,
mcm_item_filter_books,BOOKS,КНИГИ,LIVROS,LIBROS,BÜCHER,LIVRES,LIBRI,KSIĄŻKI,书籍,本,책,,,
mcm_item_filter_bonuses,BONUSES,БОНУСЫ,BÔNUS,BONOS,BONI,BONUS,BONUS,BONUSY,奖励,ボーナス,보너스,,,
mcm_item_filter_orbs,ORBS,ОРБЫ,ORBS,ORBES,ORBS,ORBES,SFERE,ORBY,宝珠,オーブ,오브,,,
mcm_item_filter_quest,QUEST,КВЕСТ,MISSÃO,MISIÓN,QUEST,QUÊTE,MISSIONE,QUEST,任务,クエスト,퀘스트,,,
mcm_item_filter_other,OTHER,ПРОЧЕЕ,OUTROS,OTROS,ANDERE,AUTRES,ALTRO,INNE,其他,その他,기타,,,
mcm_jar,Jar,Банка,Jarro,Tarro,Glas,Bocal,Vaso,Słoik,罐子,瓶,병,,,
mcm_empty_flask,Empty flask,Пустая фляга,Frasco vazio,Frasco vacío,Leere Flasche,Flacon vide,Fiaschetta vuota,Pusta butelka,空烧瓶,空のフラスコ,빈 플라스크,,,
mcm_flask_water,Flask: water,Фляга: вода,Frasco: água,Frasco: agua,Flasche: Wasser,Flacon : eau,Fiaschetta: acqua,Butelka: woda,烧瓶：水,フラスコ：水,플라스크: 물,,,
mcm_flask_milk,Flask: milk,Фляга: молоко,Frasco: leite,Frasco: leche,Flasche: Milch,Flacon : lait,Fiaschetta: latte,Butelka: mleko,烧瓶：牛奶,フラスコ：ミルク,플라스크: 우유,,,
mcm_flask_alcohol,Flask: alcohol,Фляга: алкоголь,Frasco: álcool,Frasco: alcohol,Flasche: Alkohol,Flacon : alcool,Fiaschetta: alcol,Butelka: alkohol,烧瓶：酒精,フラスコ：アルコール,플라스크: 알코올,,,
mcm_flask_beer,Flask: beer,Фляга: пиво,Frasco: cerveja,Frasco: cerveza,Flasche: Bier,Flacon : bière,Fiaschetta: birra,Butelka: piwo,烧瓶：啤酒,フラスコ：ビール,플라스크: 맥주,,,
mcm_flask_slime,Flask: slime,Фляга: слизь,Frasco: lodo,Frasco: limo,Flasche: Schleim,Flacon : vase,Fiaschetta: melma,Butelka: szlam,烧瓶：黏液,フラスコ：スライム,플라스크: 슬라임,,,
mcm_flask_vomit,Flask: vomit,Фляга: рвота,Frasco: vômito,Frasco: vómito,Flasche: Erbrochenes,Flacon : vomi,Fiaschetta: vomito,Butelka: wymiociny,烧瓶：呕吐物,フラスコ：嘔吐物,플라스크: 구토물,,,
mcm_flask_porridge,Flask: porridge,Фляга: каша,Frasco: mingau,Frasco: gachas,Flasche: Brei,Flacon : bouillie,Fiaschetta: porridge,Butelka: owsianka,烧瓶：粥,フラスコ：おかゆ,플라스크: 죽,,,
mcm_flask_random_material,Flask: random material,Фляга: случайный материал,Frasco: material aleatório,Frasco: material aleatorio,Flasche: Zufallsmaterial,Flacon : matériau aléatoire,Fiaschetta: materiale casuale,Butelka: losowy materiał,烧瓶：随机材料,フラスコ：ランダム物質,플라스크: 무작위 물질,,,
mcm_flask_starting_random,Flask: starting random,Фляга: стартовая случайная,Frasco: inicial aleatório,Frasco: inicial aleatorio,Flasche: zufälliger Startinhalt,Flacon : contenu initial aléatoire,Fiaschetta: iniziale casuale,Butelka: losowa startowa,烧瓶：随机初始内容,フラスコ：ランダム初期,플라스크: 무작위 시작,,,
mcm_flask_secret,Secret flask,Фляга: секретная,Frasco secreto,Frasco secreto,Geheime Flasche,Flacon secret,Fiaschetta segreta,Tajna butelka,秘密烧瓶,秘密のフラスコ,비밀 플라스크,,,
mcm_flask_alchemist,Alchemist flask,Алхимическая фляга,Frasco alquímico,Frasco alquímico,Alchemistenflasche,Flacon d’alchimiste,Fiaschetta alchemica,Butelka alchemika,炼金烧瓶,錬金術師のフラスコ,연금술사 플라스크,,,
mcm_flask_random_liquid,Flask: random liquid,Фляга: случайная жидкость,Frasco: líquido aleatório,Frasco: líquido aleatorio,Flasche: Zufallsflüssigkeit,Flacon : liquide aléatoire,Fiaschetta: liquido casuale,Butelka: losowa ciecz,烧瓶：随机液体,フラスコ：ランダム液体,플라스크: 무작위 액체,,,
mcm_flask_mimic,Flask mimic,Мимик-фляга,Mímico de frasco,Mímico de frasco,Flaschenmimik,Mimique de flacon,Mimic fiaschetta,Mimik butelki,烧瓶拟态怪,フラスコミミック,플라스크 미믹,,,
mcm_jar_urine,Jar: urine,Банка: моча,Jarro: urina,Tarro: orina,Glas: Urin,Bocal : urine,Vaso: urina,Słoik: mocz,罐子：尿液,瓶：尿,병: 소변,,,
mcm_powder_pouch,Powder pouch,Мешочек с порошком,Bolsa de pó,Bolsa de polvo,Pulverbeutel,Poche de poudre,Sacchetto di polvere,Sakiewka z proszkiem,粉末袋,粉の袋,가루 주머니,,,
mcm_player_missing,Player has not spawned yet,Игрок ещё не появился,O jogador ainda não apareceu,El jugador aún no ha aparecido,Spieler ist noch nicht erschienen,Le joueur n’est pas encore apparu,Il giocatore non è ancora apparso,Gracz jeszcze się nie pojawił,玩家尚未生成,プレイヤーがまだ出現していません,플레이어가 아직 생성되지 않았습니다,,,
mcm_items_failed,Item catalog failed to load,Каталог предметов не загрузился,Falha ao carregar o catálogo de itens,No se pudo cargar el catálogo de objetos,Gegenstandskatalog konnte nicht geladen werden,Échec du chargement du catalogue d’objets,Impossibile caricare il catalogo oggetti,Nie udało się wczytać katalogu przedmiotów,物品目录加载失败,アイテム一覧を読み込めませんでした,아이템 목록을 불러오지 못했습니다,,,
mcm_perks_failed,Perk list failed to load,Список перков не загрузился,Falha ao carregar a lista de vantagens,No se pudo cargar la lista de ventajas,Perk-Liste konnte nicht geladen werden,Échec du chargement des atouts,Impossibile caricare l'elenco vantaggi,Nie udało się wczytać listy perków,天赋列表加载失败,パーク一覧を読み込めませんでした,퍽 목록을 불러오지 못했습니다,,,
mcm_spells_failed,Spell list failed to load,Список заклинаний не загрузился,Falha ao carregar a lista de feitiços,No se pudo cargar la lista de hechizos,Zauberliste konnte nicht geladen werden,Échec du chargement des sorts,Impossibile caricare l'elenco incantesimi,Nie udało się wczytać listy czarów,法术列表加载失败,呪文一覧を読み込めませんでした,주문 목록을 불러오지 못했습니다,,,
mcm_hold_wand,Hold a wand,Возьмите посох в руку,Segure uma varinha,Sujeta una varita,Einen Zauberstab halten,Tenez une baguette,Impugna una bacchetta,Trzymaj różdżkę,手持一根法杖,杖を持ってください,완드를 들어 주세요,,,
mcm_item_create_failed,Could not create item,Не удалось создать предмет,Não foi possível criar o item,No se pudo crear el objeto,Gegenstand konnte nicht erzeugt werden,Impossible de créer l’objet,Impossibile creare l'oggetto,Nie udało się utworzyć przedmiotu,无法创建物品,アイテムを生成できませんでした,아이템을 생성하지 못했습니다,,,
mcm_created_nearby,Spawned nearby,Создано у ног,Criado por perto,Generado cerca,In der Nähe erzeugt,Créé à proximité,Generato vicino,Utworzono obok,已在附近生成,近くに生成しました,근처에 생성했습니다,,,
mcm_received,Received,Получено,Recebido,Recibido,Erhalten,Obtenu,Ottenuto,Otrzymano,已获得,取得しました,획득함,,,
mcm_tab_creatures,MOBS,МОБЫ,MOBS,MOBS,MOBS,MOBS,MOB,MOBY,生物,モブ,몹,,,
mcm_creature_filter_all,ALL,ВСЕ,TODOS,TODOS,ALLE,TOUS,TUTTI,WSZYSTKIE,全部,すべて,전체,,,
mcm_creature_filter_bosses,BOSSES,БОССЫ,CHEFES,JEFES,BOSSE,BOSS,BOSS,BOSSOWIE,首领,ボス,보스,,,
mcm_creature_filter_humanoids,HUMANOIDS,ГУМАНОИДЫ,HUMANOIDES,HUMANOIDES,HUMANOIDE,HUMANOÏDES,UMANOIDI,HUMANOIDY,类人,人型,인간형,,,
mcm_creature_filter_animals,ANIMALS,ЖИВОТНЫЕ,ANIMAIS,ANIMALES,TIERE,ANIMAUX,ANIMALI,ZWIERZĘTA,动物,動物,동물,,,
mcm_creature_filter_machines,MACHINES,МАШИНЫ,MÁQUINAS,MÁQUINAS,MASCHINEN,MACHINES,MACCHINE,MASZYNY,机械,機械,기계,,,
mcm_creature_filter_other,OTHER,ПРОЧИЕ,OUTROS,OTROS,ANDERE,AUTRES,ALTRO,INNE,其他,その他,기타,,,
mcm_right_transform,RMB: transform,ПКМ: превратиться,RMB: transformar,RMB: transformar,RMB: verwandeln,Clic D: se transformer,RMB: trasformati,PPM: przemiana,右键：变身,右クリック：変身,우클릭: 변신,,,
mcm_player_clone_left,LMB: create PLAYER clone,ЛКМ: создать копию ИГРОКА,LMB: criar clone do JOGADOR,LMB: crear clon del JUGADOR,LMB: SPIELER-Klon erstellen,Clic G : créer un clone JOUEUR,LMB: crea clone GIOCATORE,LPM: utwórz klona GRACZA,左键：创建玩家克隆,左クリック：プレイヤークローンを作成,좌클릭: 플레이어 클론 생성,,,
mcm_player_clone_right,RMB: human form (no change if human),ПКМ: форма человека (без изменений для человека),RMB: forma humana (sem mudança se humano),RMB: forma humana (sin cambio si ya eres humano),RMB: Menschenform (keine Änderung als Mensch),Clic D : forme humaine (aucun changement si humain),RMB: forma umana (nessun cambio se umano),PPM: ludzka postać (bez zmian gdy już nią jesteś),右键：人类形态（已是人类时不变）,右クリック：人間形態（人間なら変化なし）,우클릭: 인간 형태 (이미 인간이면 변화 없음),,,
mcm_creature_poly_failed,Could not transform,Не удалось превратиться,Não foi possível transformar,No se pudo transformar,Verwandlung fehlgeschlagen,Transformation impossible,Impossibile trasformarsi,Nie udało się przemienić,无法变身,変身できませんでした,변신하지 못했습니다,,,
mcm_creature_transformed,Transforming into,Превращение в,Transformando em,Transformando en,Verwandlung in,Transformation en,Trasformazione in,Przemiana w,正在变成,変身先,변신 대상,,,
mcm_creatures_failed,Creature list failed to load,Список существ не загрузился,Falha ao carregar a lista de criaturas,No se pudo cargar la lista de criaturas,Kreaturenliste konnte nicht geladen werden,Échec du chargement des créatures,Impossibile caricare l'elenco creature,Nie udało się wczytać listy stworów,生物列表加载失败,クリーチャー一覧を読み込めませんでした,생물 목록을 불러오지 못했습니다,,,
mcm_creature_spawn_failed,Could not spawn creature,Не удалось создать существо,Não foi possível criar a criatura,No se pudo generar la criatura,Kreatur konnte nicht erzeugt werden,Impossible de faire apparaître la créature,Impossibile generare la creatura,Nie udało się utworzyć stwora,无法生成生物,クリーチャーを生成できませんでした,생물을 생성하지 못했습니다,,,
mcm_creature_returning_human,Returning to human form,Возвращение в форму человека,Voltando à forma humana,Volviendo a la forma humana,Rückkehr zur Menschenform,Retour à la forme humaine,Ritorno alla forma umana,Powrót do ludzkiej postaci,正在恢复人类形态,人間形態に戻ります,인간 형태로 돌아가는 중,,,
mcm_inventory_full_spawned,Inventory full — spawned nearby,Инвентарь полон — создано рядом,Inventário cheio — criado por perto,Inventario lleno — generado cerca,Inventar voll — in der Nähe erzeugt,Inventaire plein — créé à proximité,Inventario pieno — generato vicino,Ekwipunek pełny — utworzono obok,物品栏已满 — 已在附近生成,インベントリが満杯 — 近くに生成しました,인벤토리가 가득 참 — 근처에 생성됨,,,
mcm_tab_effects,EFFECTS,ЭФФЕКТЫ,EFEITOS,EFECTOS,EFFEKTE,EFFETS,EFFETTI,EFEKTY,效果,効果,효과,,,
mcm_tab_weather,WEATHER,ПОГОДА,CLIMA,CLIMA,WETTER,MÉTÉO,METEO,POGODA,天气,天気,날씨,,,
mcm_effect_remove_all,REMOVE ALL,УБРАТЬ ВСЕ,REMOVER TUDO,QUITAR TODO,ALLE ENTFERNEN,TOUT RETIRER,RIMUOVI TUTTI,USUŃ WSZYSTKO,全部移除,すべて削除,모두 제거,,,
mcm_effect_controls,LMB: APPLY   RMB: REMOVE,ЛКМ: ПРИМЕНИТЬ   ПКМ: УБРАТЬ,LMB: APLICAR   RMB: REMOVER,LMB: APLICAR   RMB: QUITAR,LMB: ANWENDEN   RMB: ENTFERNEN,Clic G : APPLIQUER   Clic D : RETIRER,LMB: APPLICA   RMB: RIMUOVI,LPM: ZASTOSUJ   PPM: USUŃ,左键：应用   右键：移除,左クリック：付与   右クリック：削除,좌클릭: 적용   우클릭: 제거,,,
mcm_effects_failed,Effect list failed to load,Не удалось загрузить список эффектов,Falha ao carregar a lista de efeitos,No se pudo cargar la lista de efectos,Effektliste konnte nicht geladen werden,Échec du chargement des effets,Impossibile caricare l'elenco effetti,Nie udało się wczytać listy efektów,效果列表加载失败,効果一覧を読み込めませんでした,효과 목록을 불러오지 못했습니다,,,
mcm_weather_clear,CLEAR,ЯСНО,LIMPO,DESPEJADO,KLAR,DÉGAGÉ,SERENO,BEZCHMURNIE,晴朗,晴れ,맑음,,,
mcm_weather_night,NIGHT,НОЧЬ,NOITE,NOCHE,NACHT,NUIT,NOTTE,NOC,夜晚,夜,밤,,,
mcm_weather_storm,STORM,ШТОРМ,TEMPESTADE,TORMENTA,STURM,TEMPÊTE,TEMPESTA,BURZA,风暴,嵐,폭풍,,,
mcm_weather_time,Time of day,Время суток,Hora do dia,Hora del día,Tageszeit,Heure du jour,Ora del giorno,Pora dnia,时间,時間帯,시간대,,,
mcm_weather_clouds,Cloud cover,Облачность,Cobertura de nuvens,Nubosidad,Wolkendecke,Couverture nuageuse,Copertura nuvolosa,Zachmurzenie,云量,雲量,구름 양,,,
mcm_weather_fog,Fog,Туман,Névoa,Niebla,Nebel,Brouillard,Nebbia,Mgła,雾,霧,안개,,,
mcm_weather_wind,Wind,Ветер,Vento,Viento,Wind,Vent,Vento,Wiatr,风,風,바람,,,
mcm_weather_wind_speed,Wind speed,Скорость ветра,Velocidade do vento,Velocidad del viento,Windgeschwindigkeit,Vitesse du vent,Velocità del vento,Prędkość wiatru,风速,風速,풍속,,,
mcm_weather_lightning,Lightning,Молнии,Raios,Relámpagos,Blitze,Foudre,Fulmini,Błyskawice,闪电,雷,번개,,,
mcm_perk_mode_add,ADD,ДОБАВИТЬ,ADICIONAR,AÑADIR,HINZUFÜGEN,AJOUTER,AGGIUNGI,DODAJ,添加,追加,추가,,,
mcm_perk_mode_remove,REMOVE,УБРАТЬ,REMOVER,QUITAR,ENTFERNEN,RETIRER,RIMUOVI,USUŃ,移除,削除,제거,,,
mcm_perk_remove_controls,LMB: -1   RMB: REMOVE ALL,ЛКМ: -1   ПКМ: УБРАТЬ ВСЕ,LMB: -1   RMB: REMOVER TUDO,LMB: -1   RMB: QUITAR TODO,LMB: -1   RMB: ALLE ENTFERNEN,Clic G: -1   Clic D: TOUT RETIRER,LMB: -1   RMB: RIMUOVI TUTTI,LPM: -1   PPM: USUŃ WSZYSTKIE,左键：-1   右键：全部移除,左クリック: -1   右クリック: 全削除,좌클릭: -1   우클릭: 모두 제거,,,
mcm_perk_add_controls,LMB: SPAWN   RMB: TAKE,ЛКМ: СОЗДАТЬ   ПКМ: ВЗЯТЬ,LMB: CRIAR   RMB: PEGAR,LMB: GENERAR   RMB: TOMAR,LMB: ERZEUGEN   RMB: NEHMEN,Clic G: CRÉER   Clic D: PRENDRE,LMB: GENERA   RMB: PRENDI,LPM: UTWÓRZ   PPM: WEŹ,左键：生成   右键：获取,左クリック: 生成   右クリック: 取得,좌클릭: 생성   우클릭: 획득,,,
mcm_perk_count,Count,Количество,Quantidade,Cantidad,Anzahl,Nombre,Quantità,Liczba,数量,個数,개수,,,
mcm_perk_remove_unsafe,This perk has no safe inverse yet,Для этого перка пока нет безопасного обратного действия,Este benefício ainda não tem remoção segura,Este perk aún no tiene eliminación segura,Dieser Perk hat noch keine sichere Umkehrung,Ce perk n’a pas encore de retrait sûr,Questo perk non ha ancora una rimozione sicura,Ten perk nie ma jeszcze bezpiecznego cofnięcia,此天赋暂时无法安全撤销,このパークはまだ安全に解除できません,이 특전은 아직 안전하게 되돌릴 수 없습니다,,,
mcm_perk_remove_failed,Could not safely remove perk,Не удалось безопасно убрать перк,Não foi possível remover o benefício com segurança,No se pudo quitar el perk de forma segura,Perk konnte nicht sicher entfernt werden,Impossible de retirer le perk en toute sécurité,Impossibile rimuovere il perk in sicurezza,Nie udało się bezpiecznie usunąć perka,无法安全移除天赋,パークを安全に削除できませんでした,특전을 안전하게 제거하지 못했습니다,,,
mcm_effect_filter_all,ALL,ВСЕ,TODOS,TODOS,ALLE,TOUS,TUTTI,WSZYSTKIE,全部,すべて,전체,,,
mcm_effect_filter_status,STATUS,СОСТОЯНИЯ,STATUS,ESTADOS,STATUS,ÉTATS,STATI,STATUSY,状态,状態,상태,,,
mcm_effect_filter_timed,EFFECTS,ЭФФЕКТЫ,EFEITOS,EFECTOS,EFFEKTE,EFFETS,EFFETTI,EFEKTY,效果,効果,효과,,,
mcm_effect_duration,DURATION,ДЛИТЕЛЬНОСТЬ,DURAÇÃO,DURACIÓN,DAUER,DURÉE,DURATA,CZAS,持续时间,時間,지속시간,,,
mcm_effect_duration_10s,10s,10с,10s,10s,10s,10s,10s,10s,10秒,10秒,10초,,,
mcm_effect_duration_30s,30s,30с,30s,30s,30s,30s,30s,30s,30秒,30秒,30초,,,
mcm_effect_duration_60s,60s,60с,60s,60s,60s,60s,60s,60s,60秒,60秒,60초,,,
mcm_effect_duration_5m,5m,5м,5m,5m,5m,5m,5m,5m,5分,5分,5분,,,
mcm_effect_duration_inf,∞,∞,∞,∞,∞,∞,∞,∞,∞,∞,∞,,,
mcm_effect_status_native_decay,Applied at 100%; Noita controls natural decay,Применяется на 100%; дальше эффект естественно ослабевает в Noita,Aplicado a 100%; Noita controla a redução natural,Se aplica al 100%; Noita controla la reducción natural,Auf 100 % gesetzt; Noita steuert den natürlichen Abbau,Appliqué à 100 % ; Noita gère la diminution naturelle,Applicato al 100%; Noita gestisce il decadimento naturale,Ustawiane na 100%; Noita steruje naturalnym zanikiem,设为100%；之后由Noita自然衰减,100%で付与し、その後はNoitaが自然減衰を管理,100%로 적용되며 이후 자연 감소는 Noita가 처리,,,
mcm_effect_selected_duration,Selected duration,Выбранное время,Duração escolhida,Duración elegida,Gewählte Dauer,Durée choisie,Durata scelta,Wybrany czas,所选持续时间,選択時間,선택한 지속시간,,,
mcm_weather_time_presets,TIME OF DAY,ВРЕМЯ СУТОК,HORA DO DIA,HORA DEL DÍA,TAGESZEIT,HEURE,ORA DEL GIORNO,PORA DNIA,时间,時間帯,시간대,,,
mcm_weather_morning,MORNING,УТРО,MANHÃ,MAÑANA,MORGEN,MATIN,MATTINA,RANO,早晨,朝,아침,,,
mcm_weather_day,DAY,ДЕНЬ,DIA,DÍA,TAG,JOUR,GIORNO,DZIEŃ,白天,昼,낮,,,
mcm_weather_evening,EVENING,ВЕЧЕР,NOITE,TARDE,ABEND,SOIR,SERA,WIECZÓR,傍晚,夕方,저녁,,,
mcm_weather_presets,WEATHER,ПОГОДА,CLIMA,CLIMA,WETTER,MÉTÉO,METEO,POGODA,天气,天気,날씨,,,
mcm_weather_cloudy,CLOUDY,ОБЛАЧНО,NUBLADO,NUBLADO,BEWÖLKT,NUAGEUX,NUVOLOSO,POCHMURNO,多云,曇り,흐림,,,
mcm_weather_foggy,FOGGY,ТУМАН,NEBLINA,NIEBLA,NEBLIG,BRUMEUX,NEBBIA,MGŁA,有雾,霧,안개,,,
mcm_weather_advanced,ADVANCED,ТОЧНАЯ НАСТРОЙКА,AVANÇADO,AVANZADO,ERWEITERT,AVANCÉ,AVANZATE,ZAAWANSOWANE,高级,詳細設定,고급,,,
mcm_weather_release,RELEASE,ОТПУСТИТЬ,LIBERAR,LIBERAR,FREIGEBEN,LIBÉRER,RILASCIA,ZWOLNIJ,解除锁定,解除,해제,,,
mcm_weather_back,BACK,НАЗАД,VOLTAR,ATRÁS,ZURÜCK,RETOUR,INDIETRO,WSTECZ,返回,戻る,뒤로,,,
mcm_weather_mode_ew_host,EW HOST,EW ХОСТ,EW HOST,EW HOST,EW HOST,EW HÔTE,EW HOST,EW HOST,EW主机,EW ホスト,EW 호스트,,,
mcm_weather_mode_ew_client,EW CLIENT,EW КЛИЕНТ,EW CLIENT,EW CLIENT,EW CLIENT,EW CLIENT,EW CLIENT,EW CLIENT,EW客户端,EW クライアント,EW 클라이언트,,,
mcm_weather_mode_local,LOCAL,ЛОКАЛЬНО,LOCAL,LOCAL,LOKAL,LOCAL,LOCALE,LOKALNIE,本地,ローカル,로컬,,,
mcm_weather_locked,LOCKED,ЗАКРЕПЛЕНО,FIXADO,FIJADO,FIXIERT,VERROUILLÉ,BLOCCATO,ZABLOKOWANE,已锁定,固定中,고정됨,,,
mcm_creature_already_human,Already in player form,Уже в форме игрока,Já está na forma de jogador,Ya estás en forma de jugador,Bereits in Spielerform,Déjà sous forme de joueur,Già in forma giocatore,Już jesteś w formie gracza,已经是玩家形态,すでにプレイヤー形態です,이미 플레이어 형태입니다,,,
mcm_creature_player,PLAYER,ИГРОК,JOGADOR,JUGADOR,SPIELER,JOUEUR,GIOCATORE,GRACZ,玩家,プレイヤー,플레이어,,,
mcm_weather_rainfall,Rain,Дождь,Chuva,Lluvia,Regen,Pluie,Pioggia,Deszcz,降雨,雨,비,,,
mcm_item_controls,LMB: SPAWN  DRAG: DROP  RMB: TAKE,ЛКМ: СОЗДАТЬ  ПЕРЕТАЩИТЬ: БРОСИТЬ  ПКМ: ВЗЯТЬ,LMB: CRIAR  ARRASTAR: SOLTAR  RMB: PEGAR,LMB: GENERAR  ARRASTRAR: SOLTAR  RMB: TOMAR,LMB: ERZEUGEN  ZIEHEN: ABLEGEN  RMB: NEHMEN,Clic G: CRÉER  GLISSER: DÉPOSER  Clic D: PRENDRE,LMB: GENERA  TRASCINA: RILASCIA  RMB: PRENDI,LPM: UTWÓRZ  PRZECIĄGNIJ: UPUŚĆ  PPM: WEŹ,左键：生成  拖动：放置  右键：获取,左クリック：生成  ドラッグ：配置  右クリック：取得,좌클릭: 생성  드래그: 놓기  우클릭: 획득,,,
mcm_item_receive_failed,Item was not added to inventory,Предмет не был добавлен в инвентарь,O item não foi adicionado ao inventário,El objeto no se añadió al inventario,Gegenstand wurde nicht ins Inventar gelegt,L'objet n'a pas été ajouté à l'inventaire,L'oggetto non è stato aggiunto all'inventario,Przedmiot nie został dodany do ekwipunku,物品未加入背包,アイテムをインベントリに追加できませんでした,아이템이 인벤토리에 추가되지 않았습니다,,,
mcm_tab_runtime_error,This section could not be drawn,Не удалось отрисовать этот раздел,Não foi possível desenhar esta seção,No se pudo mostrar esta sección,Dieser Bereich konnte nicht gezeichnet werden,Impossible d'afficher cette section,Impossibile disegnare questa sezione,Nie udało się wyświetlić tej sekcji,无法绘制此页面,このセクションを描画できませんでした,이 섹션을 표시하지 못했습니다,,,
mcm_tab_rules,RULES,ПРАВИЛА,REGRAS,REGLAS,REGELN,RÈGLES,REGOLE,ZASADY,规则,ルール,규칙,,,
mcm_rule_gold_forever,GOLD NEVER EXPIRES,ЗОЛОТО НЕ ИСЧЕЗАЕТ,OURO NÃO DESAPARECE,EL ORO NO DESAPARECE,GOLD VERSCHWINDET NICHT,OR PERMANENT,ORO PERMANENTE,ZŁOTO NIE ZNIKA,金币不消失,金塊が消えない,금이 사라지지 않음,,,
mcm_rule_gold_forever_desc,Dropped gold remains in the world,Выпавшее золото остаётся в мире,O ouro derrubado permanece,El oro caído permanece,Gefallenes Gold bleibt liegen,L’or lâché reste dans le monde,L’oro lasciato resta nel mondo,Upuszczone złoto pozostaje,掉落金币保留,落ちた金塊が残る,떨어진 금이 유지됨,,,
